Abraham,CHE,FWD,0,0,0,0,0,0,0,5.4,-0.1,0.1
Adam Smith,BOU,DEF,2067,1,1,8,2.8,70,1,4.3,-0.2,0.4
Adri�n,WHU,GKP,0,0,0,0,0,0,0,4.2,-0.3,0.3
Ag�ero,MCI,FWD,2457,21,11,17,6.1,201,26,12,1,42.7
Ak�,BOU,DEF,3411,4,1,10,3.2,120,8,5.1,0.1,6.1
Albrighton,LEI,MID,1617,2,2,5,2.3,63,4,5.1,-0.4,0.3
Alderweireld,TOT,DEF,2921,0,0,12,3.1,107,7,6,0,3.7
Alexander-Arnold,LIV,DEF,2460,1,13,16,6.4,185,25,5.8,0.8,26.9
Alisson,LIV,GKP,3420,0,0,21,4.6,176,9,5.9,0.4,23.4
Alli,TOT,MID,1822,5,4,8,3.8,94,8,8.8,-0.2,2.5
Almir�n,NEW,MID,758,0,2,3,2.8,28,0,6,0,0.2
Alonso,CHE,DEF,2759,2,8,14,5.2,161,21,6.2,-0.3,22.1
Amartey,LEI,MID,639,0,0,1,1.7,15,0,4.3,-0.2,0.2
Amos,TOT,MID,2,0,0,0,1,1,0,4.3,-0.2,0.1
Ampadu,CHE,MID,0,0,0,0,0,0,0,4.4,-0.1,0
Andone,BHA,FWD,866,3,0,2,1.7,38,2,5,0,0.2
Andr� Gomes,EVE,MID,1977,1,2,9,2.4,64,2,5.4,-0.1,0.2
Antonio,WHU,MID,2093,6,8,7,3.6,118,6,6.8,-0.2,1.2
Armstrong,SOU,MID,1421,3,4,5,2.6,75,3,5.1,-0.4,0.2
Arnautovic,WHU,FWD,1988,10,5,4,4.2,117,15,6.7,-0.3,6.7
Arter,CAR,MID,1999,0,1,7,1.9,48,0,4.9,-0.1,0.2
Atsu,NEW,MID,1481,1,1,6,2,55,0,5.1,-0.4,0.1
Aubameyang,ARS,FWD,2722,22,7,7,5.7,205,32,10.8,-0.2,18.8
Aurier,TOT,DEF,562,0,2,2,3,24,0,5.7,-0.3,0.5
Austin,SOU,FWD,970,2,2,5,1.8,46,1,5.5,-0.5,0.4
Ayew,CRY,FWD,1176,1,3,5,2.3,46,2,5.7,-0.3,0.2
Ayit�,FUL,MID,466,1,0,0,1.5,24,0,4.2,-0.3,0.1
Azpilicueta,CHE,DEF,3402,1,6,16,4.2,158,11,6.4,-0.1,9.6
Babel,FUL,MID,1250,5,4,3,4.7,75,8,5.6,0.1,1.7
Bacuna,CAR,DEF,554,0,1,1,1.5,17,0,4.3,-0.2,0
Bacuna,HUD,MID,1410,1,0,0,1.9,39,1,4.2,-0.3,0.4
Bailly,MUN,DEF,636,0,0,1,1.3,16,0,5,-0.5,1.3
Baines,EVE,DEF,374,0,0,0,1.2,7,0,5,-0.5,0.5
Bakayoko,CHE,MID,0,0,0,0,0,0,0,4.9,-0.1,0.1
Balbuena,WHU,DEF,2013,1,0,5,2.7,61,3,4.2,-0.3,0.3
Baldock,BHA,FWD,0,0,0,0,0,0,0,4.5,0,0.3
Balogun,BHA,DEF,591,1,0,0,1.9,15,0,4.2,-0.3,0.1
Bamba,CAR,DEF,2475,4,1,7,3.4,95,11,4.4,-0.1,1.5
Baningime,EVE,MID,0,0,0,0,0,0,0,4.3,-0.2,0
Bardsley,BUR,DEF,1670,0,0,4,1.7,33,0,4.2,-0.3,0.1
Barkley,CHE,MID,1231,3,5,7,2.9,79,5,5,-1,1.3
Barnes,BUR,FWD,2378,12,3,7,3.3,122,13,5.6,-0.4,2.1
Barnes,LEI,MID,1001,1,3,1,2.7,43,1,5.5,0,0.2
Barreca,NEW,DEF,4,0,0,0,1,1,0,4.1,-0.4,0
Batshuayi,CRY,FWD,748,5,1,3,4.4,48,5,6.2,-0.3,0.8
Batth,WOL,DEF,0,0,0,0,0,0,0,4,0,0.6
Bednarek,SOU,DEF,2150,0,1,3,2,49,3,4,0,7.4
Begovic,BOU,GKP,2160,0,0,5,2.6,63,4,4.3,-0.2,2.7
Beller�n,ARS,DEF,1532,0,5,4,3.2,60,5,5.3,-0.2,4.5
Benalouane,LEI,DEF,0,0,0,0,0,0,0,3.9,-0.1,0.7
Benkovic,LEI,DEF,0,0,0,0,0,0,0,5,0,0
Bennett,CAR,DEF,2639,0,1,9,2.6,77,4,4.4,-0.1,0.4
Bennett,WOL,DEF,3060,1,0,9,2.6,89,1,4.1,0.1,8
Benson,BUR,MID,0,0,0,0,0,0,0,4.5,0,0
Benteke,CRY,FWD,807,1,1,3,2.1,33,3,6.3,-0.2,0.5
Bernard,EVE,MID,2108,1,4,13,2.6,88,5,5.9,-0.1,0.3
Bernardo,BHA,DEF,1749,0,1,2,1.8,39,0,4.2,-0.3,0.1
Bernardo Silva,MCI,MID,2849,7,8,15,4.3,154,17,7.8,0.3,13.6
Bertrand,SOU,DEF,2160,1,0,6,2.3,56,1,4.8,-0.2,2.4
Bettinelli,FUL,GKP,630,0,0,0,2.1,15,0,4.2,-0.3,0.3
Billing,HUD,MID,2187,2,0,5,2.3,63,4,4.5,0,1
Bissouma,BHA,MID,1764,0,0,3,1.5,43,0,4.6,-0.4,0
Blind,MUN,DEF,0,0,0,0,0,0,0,5,0,0
Bogle,CAR,FWD,0,0,0,0,0,0,0,4.5,0,0.1
Bolasie,EVE,MID,0,0,0,0,0,0,0,5.8,-0.2,0.1
Boly,WOL,DEF,3168,4,0,8,3.3,120,10,4.7,0.2,6.1
Bonatini,WOL,FWD,130,0,1,0,1.4,10,0,4.6,-0.4,0.3
Bong,BHA,DEF,1805,0,0,5,2.2,48,0,4.4,-0.1,0.1
Boruc,BOU,GKP,1080,0,0,4,3.8,46,4,4.1,0.1,8.6
Boufal,SOU,MID,0,0,0,0,0,0,0,5.5,0,0
Brady,BUR,MID,714,0,1,1,1.3,20,0,5.4,-0.1,0
Bravo,MCI,GKP,0,0,0,0,0,0,0,4.8,-0.2,0.1
Brian Murphy,CAR,GKP,0,0,0,0,0,0,0,4,0,0.2
Britos,WAT,DEF,184,0,0,0,1,3,0,4.3,-0.2,0
Brooks,BOU,MID,2263,7,6,9,4.1,123,7,5,0,3.6
Browning,EVE,DEF,0,0,0,0,0,0,0,4,0,0.1
Bruno,BHA,DEF,1131,0,1,4,3.3,46,7,4.4,-0.1,0.3
Bryan,FUL,DEF,2344,0,1,5,1.9,52,4,4.8,-0.2,0.2
Burn,BHA,DEF,0,0,0,0,0,0,0,4.5,0,0
Butcher,BOU,MID,0,0,0,0,0,0,0,4.5,0,0
Button,BHA,GKP,360,0,0,1,3.8,15,2,4,0,2.3
Byram,WHU,DEF,0,0,0,0,0,0,0,4.5,0,0
Caballero,CHE,GKP,180,0,0,2,6.5,13,0,4.7,-0.3,0.1
Cahill,CHE,DEF,22,0,0,0,1,2,0,5,-0.5,0.5
Cairney,FUL,MID,2188,1,1,5,2.3,71,3,4.6,-0.4,0.5
Calvert-Lewin,EVE,FWD,1769,6,5,8,2.6,92,3,5.4,-0.1,1.9
Camacho,LIV,MID,1,0,0,0,1,1,0,5,0,0
Camarasa,CAR,MID,2569,5,4,9,3.3,106,5,4.4,-0.1,2.2
Capoue,WAT,MID,2944,1,3,8,2.4,79,8,4.8,-0.2,0.5
Carlos S�nchez,WHU,MID,240,0,0,0,1.3,9,0,4.3,-0.2,0.1
Carrillo,SOU,FWD,0,0,0,0,0,0,0,5.5,0,0
Carroll,WHU,FWD,454,0,0,0,1,12,0,5.4,-0.1,0.1
Cass,NEW,DEF,0,0,0,0,0,0,0,4,0,0
Cathcart,WAT,DEF,3095,3,0,6,2.6,93,5,4.5,0,3.2
Cavaleiro,WOL,MID,677,3,1,1,2.1,48,3,5.2,-0.3,0.1
Cech,ARS,GKP,585,0,0,1,3.4,24,3,4.7,-0.3,1.1
Chalobah,WAT,MID,265,0,0,0,1.1,10,0,4.4,-0.1,0.1
Chamberlain,LIV,MID,19,0,0,0,1,2,0,6.4,-0.1,0.1
Chambers,FUL,DEF,2586,2,0,5,1.9,60,0,4.2,-0.3,1.1
Chicharito,WHU,FWD,1326,7,4,6,3.4,86,10,6.1,-0.4,1.5
Chilwell,LEI,DEF,3240,0,5,10,3.3,118,8,5,0,2.8
Chong,MUN,MID,37,0,0,0,1,2,0,4.5,0,0
Choudhury,LEI,MID,593,0,0,4,2.2,20,0,4.3,-0.2,0.1
Christensen,CHE,DEF,615,0,0,3,2.8,22,0,5,-0.5,0.4
Christie,FUL,DEF,1941,0,1,3,1.5,42,2,4.2,-0.3,0.2
Ciss�,FUL,MID,86,0,0,0,1.3,4,0,4.3,-0.2,0.1
Clark,NEW,DEF,857,3,0,2,3.8,42,4,4.5,0,0.2
Cleverley,WAT,MID,470,1,0,3,1.9,25,2,5,0,0
Clyne,BOU,DEF,1250,0,1,3,1.9,34,0,4.4,-0.6,0.6
Coady,WOL,DEF,3420,0,0,9,2.5,94,6,4.5,0,0.9
Coleman,EVE,DEF,2558,2,2,13,4.3,125,12,5.2,-0.3,1.6
Coleman,HUD,GKP,90,0,0,0,2,2,0,4,0,0
Connolly,CAR,DEF,0,0,0,0,0,0,0,3.8,-0.2,2.8
Cork,BUR,MID,3312,1,2,8,2.4,87,0,4.6,-0.4,0.5
Costa,WOL,MID,1333,1,2,5,2.1,52,0,4.6,-0.4,0.4
Courtois,CHE,GKP,0,0,0,0,0,0,0,5.5,0,0.5
Coventry,WHU,MID,0,0,0,0,0,0,0,4.5,0,0
Cresswell,WHU,DEF,1588,0,1,1,1.7,34,0,5,-0.5,0.5
Crouch,BUR,FWD,86,0,1,0,1.3,8,0,4.4,-0.1,0.9
Cunningham,CAR,DEF,630,0,0,1,1.3,9,0,4.1,-0.4,0
C�dric,SOU,DEF,1493,1,2,4,2.9,52,7,4.2,-0.3,2.1
Dahlberg,WAT,GKP,0,0,0,0,0,0,0,4.3,-0.2,0.1
Dalot,MUN,DEF,1009,0,2,1,1.7,27,0,5.3,-0.2,0.2
Daly,HUD,MID,73,0,0,0,1,2,0,4.5,0,0
Damour,CAR,MID,21,0,0,0,1,2,0,4.3,-0.2,0.1
Daniels,BOU,DEF,1583,1,0,4,2.1,44,1,4.1,-0.4,3.2
Danilo,MCI,DEF,805,1,0,4,4.2,46,7,4.8,-0.7,0.6
Dann,CRY,DEF,661,0,1,2,2.3,23,0,4.4,-0.1,0.1
Darlow,NEW,GKP,0,0,0,0,0,0,0,4.4,-0.1,0.1
Darmian,MUN,DEF,443,0,0,1,2.3,14,2,4.6,-0.4,0.2
David Luiz,CHE,DEF,3238,3,2,16,4.6,164,19,5.8,0.3,11.7
David Silva,MCI,MID,2399,6,8,16,4.3,143,14,8.5,0,4.4
Davies,EVE,MID,975,0,0,2,1.6,26,0,5,-0.5,0.1
Davies,TOT,DEF,1837,0,0,6,2.4,66,5,5.6,-0.4,1.7
Davis,SOU,MID,97,0,1,0,3,9,2,4.6,-0.4,0
De Bruyne,MCI,MID,968,2,3,6,3.1,59,8,9.6,-0.4,3.4
de Gea,MUN,GKP,3420,0,0,7,3.2,120,7,5.7,-0.3,16.2
De La Torre,FUL,MID,0,0,0,0,0,0,0,4.5,0,0
Deeney,WAT,FWD,2542,9,5,5,3.6,116,13,5.8,-0.2,3.7
Defoe,BOU,FWD,22,0,0,0,1,4,0,5.6,-0.4,0.4
Defour,BUR,MID,449,0,0,0,1.7,10,0,5.3,-0.2,0
Delph,MCI,DEF,722,0,1,3,2.6,29,2,5.3,-0.2,0.3
Demb�l�,TOT,MID,512,0,0,1,1.4,14,0,4.9,-0.1,0.7
Dendoncker,WOL,MID,1465,2,0,3,2.5,48,1,4.3,-0.2,0.6
Depoitre,HUD,FWD,1058,0,1,0,1.5,34,0,5.1,-0.4,0.3
Deulofeu,WAT,MID,2064,10,5,9,4.4,133,10,5.7,0.2,7.2
Diabat�,LEI,MID,54,0,0,0,1,1,0,4.6,-0.4,0
Diakhaby,HUD,MID,548,0,1,1,1.6,19,0,4.5,-0.5,0
Diam�,NEW,MID,2162,0,0,7,1.9,56,0,4.8,-0.2,0.1
Diangana,WHU,MID,600,0,1,2,1.5,25,0,4.5,0,0
Diaz,MCI,MID,0,0,0,0,0,0,0,4.7,-0.3,0
Dier,TOT,MID,1504,3,0,5,2.8,56,3,4.7,-0.3,0.9
Digne,EVE,DEF,2964,4,5,13,4.5,158,22,5.4,0.4,10.2
Diop,WHU,DEF,2970,1,0,7,2.6,87,6,4.2,-0.3,1.4
Doherty,WOL,DEF,3141,4,7,8,3.8,144,12,5.3,0.8,21.9
Doucour�,WAT,MID,3061,5,7,5,3.5,124,14,5.8,-0.2,2.8
Douglas,WOL,DEF,0,0,0,0,0,0,0,5,0,0
Dowell,EVE,MID,0,0,0,0,0,0,0,4.5,0,0
Dreher,CRY,MID,1,0,0,0,1,1,0,4.5,0,0
Drinkwater,CHE,MID,0,0,0,0,0,0,0,4.6,-0.4,0.1
Driscoll-Glennon,BUR,DEF,0,0,0,0,0,0,0,4,0,0
Dubravka,NEW,GKP,3420,0,0,11,3.4,131,10,5,0,1
Duffy,BHA,DEF,3087,5,2,7,3.3,115,9,4.7,0.2,8.1
Duhaney,HUD,DEF,45,0,0,0,1,1,0,4,0,0
Dummett,NEW,DEF,1986,0,0,7,2.6,67,3,4.4,-0.1,0.2
Dunk,BHA,DEF,3151,2,1,7,2.5,91,6,4.4,-0.1,3.4
Durm,HUD,DEF,2049,0,1,3,1.8,49,2,4.4,-0.1,0.1
Ecuele Manga,CAR,DEF,3375,0,1,10,2.6,97,4,4.4,-0.1,0.4
Ederson,MCI,GKP,3420,0,1,20,4.4,169,6,5.7,0.2,22.9
Elliot,NEW,GKP,0,0,0,0,0,0,0,4.3,-0.2,0.1
Elliott,FUL,MID,18,0,0,0,1,2,0,4,0,0.6
Elneny,ARS,MID,377,0,0,0,1.3,10,0,4.2,-0.3,2.2
Elyounoussi,SOU,MID,785,0,0,4,1.8,28,0,6,-0.5,0.1
Emerson,CHE,DEF,660,0,0,2,2.2,22,1,5.2,-0.3,0.2
Enobakhare,WOL,MID,0,0,0,0,0,0,0,4.3,-0.2,0.1
Eriksen,TOT,MID,2770,8,12,8,4.6,161,15,9.2,-0.3,7.7
Etheridge,CAR,GKP,3420,0,0,10,4.1,154,18,4.6,0.1,10.2
Evans,LEI,DEF,1993,1,0,8,3.2,77,3,4.8,-0.2,0.4
Eyoma,TOT,DEF,0,0,0,0,0,0,0,4,0,0.1
Fabianski,WHU,GKP,3420,0,0,7,3.8,143,15,4.7,0.2,14.3
